DATE,CODE,PUBLISHER,TITLE,PRICE
03/08/23,JAN231097,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover A Letizia Cadonici),$3.99 
03/08/23,JAN231098,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover B Keyla Valerio),$3.99 
03/08/23,JAN231099,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover C Fritz Casis Giant-Size X-Men #1 Homage Variant),$3.99 
03/08/23,JAN231100,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover D Letizia Cadonici Virgin Variant),AR
03/08/23,JAN231101,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover E Keyla Valerio Virgin Variant),AR
03/08/23,JAN231102,ABLAZE PUBLISHING,Children Of The Black Sun #3 (Cover F Fritz Casis Giant-Size X-Men #1 Homage Virgin Variant),AR
03/08/23,DEC220991,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover A Roberto Meli),$3.99 
03/08/23,DEC220992,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover B Emilio Pilliu),$3.99 
03/08/23,DEC220993,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover C Alessandro Amoruso),$3.99 
03/08/23,DEC220994,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover D Brent McKee Marvel Premiere #1 Warlock Homage Variant),$3.99 
03/08/23,DEC220995,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover E Roberto Meli Virgin Variant),AR
03/08/23,DEC220996,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover F Emilio Pilliu Virgin Variant),AR
03/08/23,DEC220997,ABLAZE PUBLISHING,Traveling To Mars #4 (Cover G Alessandro Amoruso Virgin Variant),AR
03/08/23,JAN231148,ABRAMS COMICARTS - SURELY,Mimosa GN,$24.99 
03/08/23,OCT221323,AC COMICS,Femforce #199,$5.95
03/08/23,SEP221178,AFTERSHOCK COMICS,Samurai Doggy #4,$3.99 
03/08/23,JAN231158,AHOY COMICS,Gimmick #1 (Of 5)(Cover A Erica Henderson),$3.99 
03/08/23,JAN231159,AHOY COMICS,Gimmick #1 (Of 5)(Cover B Khary Randolph),$3.99 
03/08/23,JAN231235,ARCHIE COMIC PUBLICATIONS,Archie Jumbo Comics Digest #338,$9.99 
03/08/23,JAN231233,ARCHIE COMIC PUBLICATIONS,Betty And Veronica Friends Forever Rock And Roll #1,$2.99 
03/08/23,JAN231351,AWA STUDIOS,Black Tape #2 (Of 4)(Cover A Dan Panosian),$3.99 
03/08/23,JAN231352,AWA STUDIOS,Black Tape #2 (Of 4)(Cover B Joe Quesada),$3.99 
03/08/23,JAN231353,AWA STUDIOS,Black Tape #2 (Of 4)(Cover C Chris Ferguson Heavy Metal Homage Variant),$3.99 
03/08/23,JAN231354,AWA STUDIOS,Black Tape #2 (Of 4)(Cover D Walt Simonson & Dan Panosian),AR
